,name,address,sido,gugun
460,상계역점,"서울특별시 노원구 상계로23다길 4, 102호(상계동)",서울특별시,노원구
461,상대원1점,경기도 성남시중원구 박석로62번길 1(상대원동),경기도,성남시중원구
462,상도4동점,서울특별시 동작구 양녕로26길 28 1층,서울특별시,동작구
463,상도동점,서울특별시 동작구 만양로 7 ,서울특별시,동작구
464,상동라일락점,"경기도 부천시원미구 도약로 35, 105(상동)",경기도,부천시원미구
465,상동점,전라북도 정읍시 충정로 37 ,전라북도,정읍시
466,상동현대점,경기도 부천시원미구 조마루로85번길 9,경기도,부천시원미구
467,상리점,경기도 여주시 청심로 232(상동),경기도,여주시
468,상무세정점,광주광역시 서구 상무화원로31번길 18,광주광역시,서구
469,상봉동점,서울특별시 중랑구 봉우재로 161(상봉동),서울특별시,중랑구
470,상인점,대구광역시 달서구 상화북로 137,대구광역시,달서구
471,상일동점,"서울특별시 강동구 상일로 29-1, 1층(상일동)",서울특별시,강동구
472,새마을점,경기도 안양시만안구 병목안로 119,경기도,안양시만안구
473,샘머리점,대전광역시 서구 청사로 281 상록스토아 306,대전광역시,서구
474,샘터점,경기도 고양시덕양구 화신로 73 D상가 103호,경기도,고양시덕양구
475,샤로수길점,"서울특별시 관악구 관악로14길 59, 1층 (봉천동)",서울특별시,관악구
476,서3점,부산광역시 금정구 금사로 11-1(서동),부산광역시,금정구
477,서귀동문점,제주특별자치도 서귀포시 서문로29번길 18,제주특별자치도,서귀포시
478,서근리점,경기도 화성시 팔탄면 버들로1362번길 6,경기도,화성시
479,서남점,대구광역시 달서구 당산로41길 69,대구광역시,달서구
480,서둔탑동평동점,경기도 수원시권선구 서둔로 197-1,경기도,수원시권선구
481,서면점(충남),세종특별자치시  연서면 당산로 286 대원네스트빌@상가101,세종특별자치시,연서면
482,서변점,대구광역시 북구 서변로 103,대구광역시,북구
483,서부점,경상남도 창원시진해구  충장로 100,경상남도,창원시진해구
484,서산1점,충청남도 서산시 동헌로 129,충청남도,서산시
485,서산부영점,충청남도 서산시 성암1로 56,충청남도,서산시
486,서산삼성점,충청남도 서산시 서령로 137,충청남도,서산시
487,서상점,경상남도 함양군 서상면 서상로 290-2,경상남도,함양군
488,서석점,강원도 홍천군  서석면 구룡령로 2525,강원도,홍천군
